track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,key,release_date
Ditto,NEWJEANS,1,1154,22,397582059,28,125,11,1,51,F#,2022-12-19
"Do It To It","CHERISH, ACRAZE",2,12403,0,674772936,183,63,465,0,11,B,2021-08-20
"Do They Know Its Christmas?  1984 Version","BAND AID",1,14169,0,481697415,209,30,449,0,0,NULL,1984-11-25
"Do We Have A Problem?","NICKI MINAJ, LIL BABY",2,1064,0,81350745,42,1,26,0,0,C#,2022-02-04
DOGTOOTH,"TYLER, THE CREATOR",2,1479,0,80758350,23,0,18,0,33,G#,2023-03-27
Doja,"CENTRAL CEE",1,4169,44,482257456,57,44,183,1,11,F#,2022-07-20
"Dont Be Shy","TISTO, KAR",2,6026,0,566954746,171,51,187,1,21,B,2021-08-01
"Dont ever say love me (feat RM of BTS)","RM, COLDE",2,105,0,34502215,5,9,5,0,0,B,2023-05-04
"Dont You Worry","DAVID GUETTA, SHAKIRA, BLACK EYED PEAS",3,2442,0,240918092,81,4,248,1,6,B,2022-06-16
"Don’t Blame Me","TAYLOR SWIFT",1,4875,23,685032533,19,45,0,0,10,A,2017-11-08
"Dont Break My","THE WEEKND",1,1184,0,63803529,1,5,6,0,0,A#,2022-01-07
"Dos Mil 16","BAD BUNNY",1,892,3,338422004,10,24,11,0,0,C#,2022-05-06
"Dos Oruguitas","SEBASTIAN YATRA",1,925,0,167076418,24,47,74,0,0,NULL,2021-11-19
"Double Fantasy (with Future)","THE WEEKND, FUTURE",2,1169,0,96180277,36,65,28,0,0,A,2023-04-21
"Down Under (feat Colin Hay)","LUUDE, COLIN HAY",2,3541,2,252871192,57,13,50,1,7,B,2021-11-19
"Dream On",AEROSMITH,1,168,0,838586769,0,0,5,0,0,F,1973-01-05
"Dreamers Music from the FIFA World Cup Qatar 2022 Official Soundtrack","BTS, JUNG KOOK, FIFA SOUND",3,889,20,323358833,11,78,35,0,21,NULL,2022-11-20
"Driving Home for Christmas  2019 Remaster","CHRIS REA",1,888,0,429504768,50,0,6,0,0,A,1986-01-01
"Dua Lipa","JACK HARLOW",1,1992,0,150500965,35,0,3,0,0,B,2022-05-06
"Easy On Me",ADELE,1,10195,20,1406111294,258,87,657,22,9,F,2021-10-14
Efecto,"BAD BUNNY",1,4004,33,1047480053,34,65,43,6,2,G,2022-05-06
"El Apag","BAD BUNNY",1,1209,0,212351890,9,7,14,0,1,G#,2022-05-06
"El Azul","JUNIOR H, PESO PLUMA",2,692,25,354495408,10,107,6,3,62,A,2023-02-10
"El Cielo","FEID, MYKE TOWERS, SKY ROMPIENDO",3,1298,38,107753850,44,64,57,10,110,A#,2023-06-02
"El Gordo Trae El Mando","CHINO PACAS",1,539,21,255932395,7,71,4,2,13,G,2023-01-27
"El Merengue","MARSHMELLO, MANUEL TURIZO",2,2114,44,223633238,80,75,110,11,323,G#,2023-03-03
"El Rescate","GRUPO MARCA REGISTRADA, JUNIOR H",2,527,4,287278853,10,43,3,1,0,G,2022-07-22
ELEVEN,IVE,1,521,1,247737946,17,89,11,0,0,A,2021-12-01
"Ella Baila Sola","ESLABON ARMADO, PESO PLUMA",2,3090,50,725980112,34,222,43,13,418,F,2023-03-16
"En El Radio Un Cochinero","VICTOR CIBRIAN",1,514,0,164856284,5,36,1,0,0,F#,2022-05-13
"En La De Ella","FEID, SECH, JHAYCO",3,1320,0,133895612,29,26,17,0,0,C#,2022-10-20
"En Paris","EL CHACHITO, JUNIOR H",2,406,5,198275403,3,31,2,1,0,D#,2022-12-24
Enchanted,"TAYLOR SWIFT",1,4564,16,621660989,24,101,113,0,40,G#,2010-01-01
"Enchanted (Taylors Version)","TAYLOR SWIFT",1,148,24,39578178,32,93,8,2,5,G#,2023-07-07
"Enemy  from the series Arcane League of Legends","IMAGINE DRAGONS, LEAGUE OF LEGENDS, ARCANE",3,824,0,1223481149,8,8,8,2,0,G,2021-10-27
